Bacterium, Iteration Born, Iteration Died, Life Span, Generation, Parent Bacterium, Number of Offspring, Alive at End
549,89,108,19,8,502,4,0
550,89,98,9,9,504,1,0
551,90,98,8,8,389,1,0
552,90,101,11,10,456,2,0
553,90,104,14,8,459,3,0
554,90,107,17,10,460,3,0
555,90,91,1,8,467,0,0
556,90,93,3,10,476,0,0
557,90,91,1,8,478,0,0
558,90,93,3,8,487,0,0
559,90,93,3,11,534,0,0
560,91,91,0,8,396,0,0
561,91,104,13,9,431,2,0
562,91,97,6,8,493,0,0
563,91,94,3,10,532,0,0
564,92,105,13,9,482,3,0
565,92,96,4,8,502,0,0
566,92,95,3,8,510,0,0
567,92,93,1,9,528,0,0
568,92,95,3,9,537,0,0
569,92,95,3,11,538,0,0
570,92,95,3,9,539,0,0
571,93,96,3,8,389,0,0
572,93,100,7,8,459,0,0
573,93,93,0,10,460,0,0
574,93,100,7,8,487,0,0
575,93,97,4,11,534,0,0
576,94,99,5,9,431,0,0
577,94,98,4,8,493,0,0
578,94,94,0,10,532,0,0
579,94,95,1,9,540,0,0
580,94,112,18,9,542,4,0
581,95,98,3,9,482,0,0
582,95,97,2,8,502,0,0
583,95,98,3,9,528,0,0
584,95,98,3,9,537,0,0
585,95,98,3,11,538,0,0
586,95,98,3,9,544,0,0
587,95,98,3,9,551,0,0
588,95,98,3,11,552,0,0
589,96,98,2,8,389,0,0
590,96,98,2,8,459,0,0
591,96,97,1,8,487,0,0
592,96,120,24,10,548,6,0
593,96,100,4,9,549,0,0
594,96,110,14,10,550,3,0
595,97,121,24,9,431,7,0
596,97,104,7,8,493,1,0
597,97,113,16,9,540,3,0
598,97,118,21,9,553,5,0
599,97,97,0,10,564,0,0
600,98,100,2,9,482,0,0
601,98,99,1,9,528,0,0
602,98,100,2,9,537,0,0
603,98,101,3,11,538,0,0
604,98,110,12,9,544,2,0
605,98,101,3,11,552,0,0
606,98,101,3,11,554,0,0
607,98,101,3,10,561,0,0
608,99,121,22,8,389,5,0
609,99,109,10,8,459,1,0
610,99,115,16,8,487,3,0
611,99,106,7,10,548,0,0
612,99,100,1,9,549,0,0
613,100,106,6,9,431,0,0
614,100,105,5,8,493,0,0
615,100,103,3,9,553,0,0
616,100,101,1,10,564,0,0
617,101,116,15,9,482,3,0
618,101,119,18,9,528,4,0
619,101,103,2,9,537,0,0
620,101,103,2,9,544,0,0
621,101,104,3,11,554,0,0
